,TWEET,POLARITY,SUBJECTIVITY
0,RT @MichaelHargrov1: But @RepMiaLove could defend Trump calling Mexicans rapists. https://t.co/X2C8keeEIq,0.0,0.0
1,RT @ericbolling: * 3 years ago and long before any Presidential declarations  @realDonaldTrump funded @RandPaul trip to Haiti to provide fr…,-0.05,0.4
2,RT @nedryun: “As a businessperson I just applaud this economy. You need to give President Trump the merit of being the main person responsi…,0.16666666666666666,0.3333333333333333
3,Racism charges swarm Trump as 'shithole' debate rattles immigration talks  https://t.co/VyQTcDxUAu via @politico,0.0,0.0
4,RT @WendyJackmann: @Imperator_Rex3 The Capitol Switchboard is (1-866-220-0044) we urge you to call your Representative and demand the immed…,0.0,0.0
6,Threats are the last resort of a man with no vocabulary - Tamora Pierce,0.0,0.06666666666666668
7,RT @AMErikaNGIRLBOT: Trump calls for strict voter ID laws  which critics say disenfranchises the poor and minorities. RT if you Support Str…,-0.4,0.6
8,RT @ehedie_3939: @SocialPowerOne1 You will never get any useful or truthful information from Trump sycophants so WHY do you ( and other hos…,0.225,0.2916666666666667
9,RT @EdKrassen: Trump cheated on Melania months after they had Barron. If this was any other President  this would be a huge ordeal.  Why do…,0.13750000000000004,0.6375
11,"1. Think Trump referring to Africa and Haiti as ""shitholes"" is bad? What about when Obama aske…",-0.6999999999999998,0.6666666666666666
12,RT @SteveSchmidtSES: The Trump faction in America accounts for between 32-36 percent of voters. The overwhelming majority of our fellow cit…,0.5,1.0
13,RT @EdKrassen: If Conspiracy doesn't get Trump  Money laundering will.  If Money laundering doesn't get Trump  his sexual crimes will.  If…,0.5,0.8333333333333334
14,RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0,0.125
15,RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0,0.125
16,RT @renato_mariotti: What have we come to  where we’re debating what exact racist comment our President made to Senators? Perdue and Cotton…,0.25,0.25
18,So  let me get this straight.... @FLOTUS h…,0.2,0.4
19,RT @bellvisuals: Sh*hole Projections on Trump Hotel #resist https://t.co/M44MbzGDjs,0.0,0.0
20,RT @SaysHummingbird: As my friend @funder rightly points out  Congress MUST establish a #TrumpSexProbe to investigate the 20 sexual assault…,0.3928571428571429,0.6845238095238095
21,"RT @thehill: ""Shithole"" projected onto Trump hotel https://t.co/MVensCw1DG https://t.co/j1fJt7EKLD",0.0,0.0
22,@thiafinart Yes  but it would have the clear ring of inauthenticity.  It would underline the historical parallels … https://t.co/fhUbzE7gCc,0.05000000000000001,0.19166666666666665
